obs	shann
010012	1301	5.54892081389386
010048	1211	5.81554186885414
010048O2V1	1145	5.85109416835822
010008O1V2	515	5.45704684108401
010047O2V2	790	5.55313944105206
010045	1404	6.11634735091959
010003	1006	4.51121525871862
010003-01V3	1207	5.57679188356397
010047O5V2	648	5.02463039777391
010048O1V3	314	4.16820818463266
010047O5V3	500	4.33845256654087
010050O1V1	1241	5.82438454934006
010047	1047	5.43586099109528
010050O1V3	914	5.79693999551124
010035	1204	5.90269351754619
010050O1V2	1173	5.70918814108184
010049	1281	6.12675020642454
010038	1237	6.07811516119875
010047O4V2	727	5.12921214286035
010019	1425	6.06478489115664
010007-01V3	1162	5.82302543116177
010029	1035	5.60100158554979
010046	1441	6.24354033340646
010020-01V2	1104	5.75539530811165
010052O1V1	104	2.54854663502955
010049O1V2	1092	4.07135456456858
010020-01V1	970	5.75608411557163
010051O1V2	824	4.84547405077951
010041	1093	4.92435115888302
010051	997	5.46956697576247
010053-01V3	1332	5.79436709048934
010052	850	4.74687603121371
010065	703	5.37157802598281
010057-01V2	1238	6.10778019236757
010054O1V3	766	5.0533571703327
010065O3V3	675	4.27642272150536
010065O1V2	680	4.21086355627999
01007-01V2	1613	5.29733230048462
010065O7V3	463	3.87319010969089
010071-01V3	1419	5.94250168339431
010050	1269	5.88046042005174
010073O1V3	1175	5.99770623173285
010072O0B0	1059	6.04184005020153
010065O5V3	744	5.31407512154316
010065O7V2	208	3.28871182201273
010053-01V1	1218	5.35341401419752
010073O1V1	830	5.40576498840163
010065O5V2	677	4.61307416661229
010053-01V2	1067	5.6362667534776
010065O1V3	497	4.42952767779793
010054	1069	5.55121574741352
010077	1249	5.97905198089806
010054O1V2	647	4.76537219048666
010081	1882	6.6627972236446
010081O1V1	571	3.17377021099203
010071-V1	1024	5.57681050363458
010079O3V2	948	5.68555002733259
010059	942	5.20075271369244
010081O1V3	1159	5.35336378426449
010082O1V3	451	4.71067139478601
010073O1V2	827	5.39531362266279
010081O1V2	795	5.65722092864256
010082	1365	5.76537659022805
010051O1V3	673	5.3635607392427
010078O1V1	1224	5.55169397063429
010058	963	5.30113870345078
010071	1554	6.21496529141899
010065O3V2	539	4.43473475067758
010084-01V3	634	5.27901970652809
010082O1V2	565	5.05834573654262
010084-01V1	1206	5.34033275960206
010084-03V2	733	4.79853156948776
010084-03V3	1162	5.59779861986277
01007905V3	898	5.78790684043813
010057-01V1	1128	5.99923636160958
010067	1305	6.06608385184926
010057	896	5.83265471089628
010087	1749	6.1192779145604
010086O2V1	689	5.59980631218356
010079O4V3	472	5.09451027935692
010053	1331	5.7442063164366
010084-03V1	1337	4.16505813530507
010057-01V3	1113	5.82756478659548
010079O5V2	1060	5.46542523329274
010083	778	4.69598481571112
010071-V2	1511	5.67397966159842
010060	1176	5.30632882997232
010088O1V3	549	5.02517767727568
010069	1173	5.931643786156
010086O2V3	932	5.57506241433947
010088-V3	1243	6.10214125466111
010076	1493	6.17169782323613
010078	1247	5.82202361565251
010088-03V1	1298	6.16581777648187
010088	1279	5.96073148970431
010088O4V3	487	5.06819904293096
010062	1161	5.987515644226
010086	1516	6.26132119146672
010088O1V2	644	4.92939753045674
010079	1202	6.03223117432368
010066	1320	6.26666755040506
010088O4V2	391	4.34097487830298
010086O2V2	820	5.45491577028824
010084-01V2	1609	6.35878662245502
010073	1162	5.90497273952375
010096	1143	6.09524525801008
010105O1V1	1122	5.60733236521319
010085	1383	6.04570003311706
010108O2V3	758	4.79411818651469
010084O2V2	919	5.25245244219239
010107	1130	5.80905629408977
010108O2V2	1468	6.02959787391916
010103O1V1	608	5.33375699054063
010090O1V3	1207	5.9612917723076
010099	1002	5.29091239399573
010109-04V3	1191	5.35889378443578
010056	1099	5.73885176882085
010110O3V3	906	5.56950604930755
010110-01V3	1732	5.62968642601583
010088-V2	1042	5.75778473490802
010103	1461	6.0982802521365
010103O1V3	556	4.34246132557693
010113	1578	5.59691527683924
010097	1429	6.22044464533253
010110O4V2	783	5.82539886620675
010094	1533	6.44886670966438
010075	1147	6.09920765994225
010101	1798	6.5865226938981
010110O4V1	760	5.44235507447488
010084	1324	5.95404412073839
010106	1420	6.09617287529292
010084O2V3	556	4.60303367234139
010110V1	1552	5.87875201480879
010117O1V2	1230	5.80844879365393
010110O4V3	887	5.67345010711661
010113O1V3	876	4.99821953370674
010117O1V1	1205	6.05813186408696
010113O1V1	777	5.29663148658675
010110-02V3	1479	5.92235328099672
010090	1660	6.43675622612818
010110-02V2	1209	6.08157620249727
010108	1207	5.41690296293034
010102	1509	6.12832133643363
010110O3V2	1107	5.43229926678709
010109O2V3	850	5.20300866877764
