obs	shann
010601O0B0	1347	6.12813675144333
010570O0B0	1172	6.27795179969405
010593O0B0	1151	5.87793023849596
0110499-00BO	1555	5.69140316690479
010522-00BO	1388	6.09603765148152
010602O0B0	1254	5.96115385960051
010611O0B0	959	5.76046732319888
010552O0B0	1264	5.8664939724579
010524-00BO	754	5.46609502627179
010523-00BO	989	5.41385883874945
010573O0B0	1033	5.71326939939298
010590O0B0	1059	5.94469958042968
010579O0B0	1344	6.13092742860475
010541-00BO	1134	5.70457316596657
010587O0B0	1216	6.02669448044164
011522-V2	1468	6.14974571865096
020011	1461	6.46093076725705
010589O0B0	805	4.82386477641604
010604O0B0	1180	6.11473217083919
010610O0B0	693	5.21394697566032
010599O0B0	1015	5.70955597587741
020006	960	5.77872138371822
010612O0B0	1473	6.20776706046414
010536-00BO	352	4.42900518135927
010527-00BO	1199	5.83908915595108
010569O0B0	1307	6.21184859873358
020022O2V3	1054	5.21660022587903
010519O0B0	1102	6.01978271546896
010537-00BO	1240	5.86246734414952
010491-00BO	1431	6.12073477630079
010539-00BO	1255	5.78420412928139
010581O0B0	1141	5.75585724120953
010533O0B0	1486	6.31458864430364
010557O0B0	1274	6.12829000886912
010548	1070	5.92254447183193
020031	1448	6.26715870124924
020004	1514	6.00688071903287
020030	1603	6.16936947452982
020022	1263	6.10409471064358
020042	1161	6.07226922613139
020015	945	5.14209468429264
020047	1454	6.43998518189599
020001	1433	6.15570983956233
020033	1736	6.19612191100938
020021	1272	6.08467984070143
020026	1055	5.91818684502454
020005	1505	6.07965401384871
010609O0B0	1350	5.78116852818298
020014	1179	5.99700260788056
020024	1261	6.03692272640864
020003	1290	5.68879467989041
020037	1542	6.24876925474099
020032	1029	5.41644384934973
020018	752	4.89716044832754
020008	707	4.86001766786205
020009	1395	5.88944735736497
020043	1250	6.10520048237749
020029	1268	6.06975953531483
020035	851	5.40036796971159
020023	1476	6.22736710028635
020010	1407	5.92943164915937
020039	1175	5.69724422205409
020038	1110	6.01272102304514
020028	1197	5.97423132824248
010613O0B0	1258	6.14296864595409
020054	1509	5.55074118616049
020016	1417	6.25055272996995
020040	1204	5.7033269151523
020002	1298	5.76597392558798
020045	1372	5.78458227037662
020050	1447	5.89446382153267
020073	1092	5.8203047982166
020041	1324	5.88172089012433
020027	1196	5.83588590431649
020036	1352	6.32732403467239
020079	1043	5.30676581172065
020025	1024	5.54637884177713
020087	687	4.96927492762548
020020	1518	6.2154670022467
020060	1391	6.17026144641609
020072	1441	6.14497613051204
020090	1123	5.59650008526237
020084	402	3.55380379288917
020104	868	5.69289602388239
020083	993	4.55705791835232
020111	1211	6.26333964325132
020062	1208	5.73636103789432
020034	1018	5.93797688719364
020048	1281	5.89715184859397
020106	1101	5.94690431414108
